"year","mean.fac.inc","mean.nat.inc","mean.disp.inc"
2005,45014,46155,36027
2006,44715,46747,36522
2007,48898,51236,40461
2008,46339,47633,37636
2009,39633,39779,31718
2010,42111,42448,33602
2011,43180,42651,34033
2012,44135,45430,36496
2013,41608,43357,35044
2014,45684,47951,39051
2015,48118,50505,40696
2016,47048,49669,40232
