"year","fac.inc.P1","nat.inc.P1","disp.inc.P1"
2005,0.595,0.463,0.347
2006,0.576,0.442,0.333
2007,0.567,0.437,0.336
2008,0.586,0.452,0.355
2009,0.594,0.445,0.33
2010,0.598,0.451,0.334
2011,0.603,0.462,0.335
2012,0.607,0.491,0.361
2013,0.603,0.481,0.346
2014,0.596,0.48,0.356
2015,0.612,0.494,0.366
2016,0.602,0.486,0.363
