"year","quint.fac","quint.nat","quint.disp"
2005,94,14,9
2006,93,13,9
2007,63,12,9
2008,64,13,9
2009,56,12,9
2010,54,13,9
2011,46,14,9
2012,57,13,8
2013,59,13,8
2014,57,13,8
2015,64,13,8
2016,54,12,8
