"year","gini.fac.inc","gini.nat.inc","gini.disp.inc"
2005,0.52,0.46,0.42
2006,0.5,0.44,0.41
2007,0.5,0.44,0.41
2008,0.51,0.46,0.42
2009,0.5,0.45,0.41
2010,0.51,0.46,0.42
2011,0.51,0.47,0.42
2012,0.51,0.45,0.39
2013,0.51,0.45,0.39
2014,0.51,0.45,0.39
2015,0.52,0.45,0.4
2016,0.51,0.45,0.39
