"year","fac.inc.P1","nat.inc.P1","disp.inc.P1"
2005,22342,27154,22026
2006,22275,27443,22182
2007,24809,30345,24444
2008,23188,28295,22657
2009,18628,23198,19166
2010,19500,24503,20128
2011,19910,24604,20323
2012,20518,25082,21075
2013,19659,24278,20547
2014,21709,26515,22703
2015,22952,28076,23726
2016,22670,27703,23284
